ECo20,Cabra Marcadao Para Morrer,1984,Coutinho,PN:,SU:,prc,Docu,aw,"csd, Brazil",Lang(Portugese) Alt(Twenty Years Later),|
FCo10,El Fantasma de la Opera,1960,Cortes,PN:,SL:Mexico,,Comd,|
FCo20,En Este Pueblo No Hay Ladrones,1964,Cortes,PN:,SL:Mexico,,Comd,,,,Alt(In This Town There Are No Thieves) B(Gabriel~Garcia) Lang(\Sp) Er(D),|
GeR1,Craig's Will,1960,G.Reynolds,Hitchcock,"SShamley, CBS",bnw,Susp,aw,lc,TV(6Mar1960) Le(30m),|
GiP10,The Battle of Algiers,1966,Pontocorvo,PN:Antonio Musu,"SRizzoli, Allied Artists",bnw,,Z*,|
GiP20,Burn!,1970,Pontocorvo,PN:,SU:,,Epic,,"island, Caribbean; T(1850)",,|
GOu10,Le Corniaud,1964,Oury,PN:,SU:,prc,Ctxx,aw,lc,Alt(The Sucker; USA),|
GOu20,The Brain,1969,Oury,PN:Alain Poire,"SGaumont Int., SD:Paramount",col,Advt,H,"London, England; csd, France",Seen(14Jun1990) M(Gore Delvue),|
GOu30,Le Coup de Parapluie,1980,Oury,PN:,SU:,prc,Ctxx,aw,lc,,|
GOu35,L'As des As,1980,Oury,PN:,SU:,prc,Dram,aw,"Berlin, Germany; T(1936)",,|
GPl10,The Time Machine,1960,Pal,Pal,SMGM,\Mcol,ScFi,H*,"England; T(1830, 802701)",B(H.G. Wells) V(;AA),|
GSj1,The Little Man Who Was There,1960,G.Stevens~jr.,"P:Hitchcock, J.Harrison","SShamley, CBS",bnw,Susp,aw,"saloon, Copper Pocket, West",TV(3Apr1960) Le(30m) VT(N:HP9) Seen(9Mar1991),|
GSj2,"Coming, Mama",1961,G.Stevens~jr.,"P:Hitchcock, J.Harrison","SShamley, NBC",bnw,Susp,aw,lc,TV(11Apr1961) Le(30m)VT(N:HP10),|
HAG1,Party Line,1960,H.S.Green,"P:Hitchcock, J.Harrison","SShamley, CBS",bnw,Susp,aw,lc,TV(29May1960) Le(30m) B(Henry Slesar),|
IMx10,Foxhole in Cairo,1960,Moxey,"PN:Steven Pallos, Donald Taylor",SOmnia,bnw,BioP,H,"Cairo, Egypt; Lybia; T(1944)",,|
IS1,Terminus,1960,Schlesinger,PN:,SU:,prc,Ctxx,aw,lc,,|
IS2,A Kind of Loving,1962,Schlesinger,PN:Joe Janni,SAnglo-Amalgamated,bnw,Dram,H***,"town,North, England",C(Denys Coop) B(Stan Barstow),|
IS3,Billy Liar,1963,Schlesinger,PN:Joe Janni,SVic Films,bnw \CS,,H***,lc,,|
IS4,Darling,1965,Schlesinger,PN:,SU:,prc,Ctxx,aw,lc,E(J.Clark),|
IS5,Far from the Madding Crowd,1967,Schlesinger,Joseph Janni,SEMI,\Tcol,Dram,H*,"csd, Wessex, England",M(Richard Rodney Bennett; AAN) B(Hardy) C(Nicholas Roeg),|
IS6,Midnight Cowboy,1969,Schlesinger,J.Hellman,SU.A.,\DeLuxe,,"AA, H***, Z*","NYC, NY","R(X,R) B(James Leo Herlihy) M(John Barry) W(W.Salt)",|
IS7,"Sunday, Bloody Sunday",1972,Schlesinger,PN:,SU:,,"Horr,Dram",,,R(X) W(Penelope~Gilliatt; AAN),|
IS8,The Day of the Locust,1975,Schlesinger,"P:J.Hellman, Sheldon Shrager",SParamount,\Tcol,Dram,(H**),lc,R(R) C(Conrad Hall; AAN) B(Nathaniel West) E(J.Clark),|
IS9,Marathon Man,1976,Schlesinger,PN:Robert Evans,SParamount,\Mcol,Dram,H**,"NYC, NY",R(R) W(W.Goldman) B(W.Goldman) E(J.Clark),|
IS10,Yanks,1979,Schlesinger,PN:Joe Lanni,SU.A.,\Tcol,Romt,H**,"town, England; T(1944)",E(J.Clark),|
IS11,Honky Tonk Freeway,1981,Schlesinger,PN:Don Boyd,"SEMI, HTF co",\Tcol,Comd,H,"town, FL",E(J.Clark),|
IS16,The Believers,1985,Schlesinger,PN:,SU:,prc,"Dram,Horr",-H,,Er(198x),|
IS20,Madame Sousatzka,1988,Schlesinger,PN:,SU:,col,Romt,,,Seen(31Oct1988),|
IS25,Pacific Heights,1990,Schlesinger,PN:James Robinson,SFox,\DeLuxe,Romt,,"SFO, CA",R(R),|
IS29,The Innocent,1993,Schlesinger,PN:,SU:,col,Ctxx,,lc,B(Ian McEwan),|
IS32,Cold Comfort Farm,1996,Schlesinger,PU:,SU:,prc,Ctxx,,lc,Er(19xx),|
JL5,The Bellboy,1960,J.Lewis,J.Lewis,SParamount,bnw,Comd,H*,"hotel, Miami, FL",W(J.Lewis),|
JL10,The Errand Boy,1961,J.Lewis,J.Lewis,SParamount,bnw,Comd,h,lc,,|
JL13,The Nutty Professor,1963,J.Lewis,J.Lewis,SParamount,\Tcol,Comd,"F46, H",college,W(Jerry Lewis),|
JL15,The Patsy,1964,J.Lewis,J.Lewis,SParamount,\Tcol,Comd,H,"Hollywood, CA",W(J.Lewis),|
JqD1,Lola,1960,J.Demy,PN:,SFranscope,bnw,,H*,"Nantes, France; T(1939)",M(Legrand) C(Raoul Coutard) Nt(dedicated to Max~Ophuls),|
JqD2,Bay of the Angels,1962,J.Demy,PN:,SU:,prc,Romt,aw,lc,W(J.Demy) C(Jean Rabier) M(Michel Legrand) Lang(\Fr),|
JqD3,The Blond Sinner,1963,J.Demy,PN:,SU:,prc,Romt,aw,lc,NT(title orig),|
JqD4,Les Parpluies de Cherbourg,1964,J.Demy,,SParc,\Ecol,Musc,"H**, GP","Cherbourg, France",W(J.Demy; AAN) M(Legrand; AAN) Alt(The Umbrellas of Cherbourg) Nt(restored 1996),|
JqD5,Demoiselles de Roquefort,1964,J.Demy,PN:,SU:,prc,Musc,aw,lc,,|
JqD6,The Model Shop,1970,J.Demy,PN:,SU:,prc,Ctxx,aw,lc,,|
JqD7,The Pied Piper,1971,J.Demy,"PN:David Puttnam, Sanford Lieberson",SSagittarius,\Ecol,Fant,H,"Hamelin, Germany; T(1349)","B(Brothers Grimm) W(J.Demy, Mark Peploe, Andrew Birkin)",|
JqD8,L'Evenement le plus important depuis que l'homme marchr sur la lune,1973,J.Demy,PN:,SU:,prc,Ctxx,aw,lc,,|
JqD12,Donkey Skin,1975,J.Demy,PN:,SU:,prc,Ctxx,aw,lc,R(PG),|
JqD15,A Slightly Pregnant Man,1978,J.Demy,PN:,SU:,prc,Ctxx,aw,lc,R(PG),|
JqD17,Lady Oscar,1979,J.Demy,PN:,SU:,prc,Ctxx,aw,lc,,|
JqD20,L'Naissance du Jour,1981,J.Demy,PN:,SU:,prc,Ctxx,aw,lc,Er(19xx),|
JqD22,Une Chambre en Ville,1982,J.Demy,PN:,SU:,prc,"Musc,Comd",Grand Prix Nationale,lc,Alt(A Room in Town; USA),|
JqD28,Trois Places Pour la 26,1988,J.Demy,PN:,SU:,prc,BioP,aw,lc,,|
JSq10,The 3 Worlds of Gulliver,1960,Sher,PN:,SU:,prc,ScFi,aw,lc,,|
JWa1,The Alamo,1960,J.Wayne,J.Wayne,SU.A.,\Tcol,Epic,H*,"fort, TX",C(William H. Clothier; AAN) M(Tiomkin; AAN),|
JWa2,The Green Berets,1968,J.Wayne,PN:J.Wayne,"SWarners, Batjac",\Tcol,Actn,H,"mil.inst., Vietnam",R(PG) B(Robin Moore),|
LRg10,Come Back Africa,1960,Rogosin,PN:,SU:,prc,Docu,aw,"Johannesburg, SA",,|
LSt10,Private Property,1960,L.Stevens,L.Stevens,SCitation,bnw,Actn,aw,"Hollywood, LA",W(L.Stevens) C(Ted McCord),|
MaB1,Black Sunday,1960,Bava,PN:Massimo Derita,SAIP SL:\It,col,Horr,aw,lc,B(Gogol: ``The Vij'') M(Les Baxter),|
MaB10,Blood and Black Lace,1964,Bava,PN:Lou Moss,SWoolner,prc,Susp,aw,lc,,|
MaB12,"Kill, Baby, Kill!",1964,Bava,PN:,SU:,prc,Horr,aw,lc,,|
MaB15,Planet of the Vampyres,1965,Bava,PN:,SU:,prc,Horr,aw,lc,,|
MaB21,"Dange:, Diabolik!",1968,Bava,PN:,SU:,prc,Horr,aw,lc,,|
MaB23,Hartchet for the Honeymoon,1969,Bava,PN:,SU:,prc,Horr,aw,lc,,|
MaB28,Bay of Blood,1971,Bava,PN:,SU:,prc,Horr,aw,lc,,|
MaB30,Antefatto,1972,Bava,PN:Guiseppe Zacciarello,SHallmark,col,Horr,aw,lc,"W(Bava, Carl Reali) R(R) Alt(Twitch of the Death Nerve; USA)",|
MBo10,Ultimi Giorni di Pompeii,1960,Bonnard,PN:Paolo Moffa,SU.A.,col,Hist,aw,"Pompeii, Italy",Alt(The Last Days of Pompeii; USA),|
MeW10,Code of Silence,1960,M.Welles,PN:Berj Hagopian,SSterling,bnw,Susp,aw,"village, Mexico","W(Norman Toback, Allen Adrian) R(R)",|
MeW30,Lady Frankenstein,1972,M.Welles,PN:Harry Cushing,SNew World,\Mcol,ScFi,aw,laboratory,Alt(La Figlia di Frankenstein; Italy),|
NOs2,Seishun Zankoku Monogatari,1960,Oshima,PU:,SU:,prc,Dram,,lc,Alt(Cruel Story of Youth),|
NOs3,Taiyo No Hakaba,1960,Oshima,PU:,SU:,prc,Dram,,"slum, Kamagaseki, Osaka, Japan",,|
NOs4,Nihon no Yoru to Kiri,1960,Oshima,PU:,SU:,prc,Ctxx,,lc,Alt(Night and Fog in Japan),|
NOs12,Shinjuku Dorobo Nikki,1966,Oshima,PU:,SU:,prc,Ctxx,,lc,Alt(Diary of a Shinjuku Thief) Er(1969),|
NOs20,Tokyo Senso Sengo Hiwa,1970,Oshima,PU:,SU:,prc,Ctxx,,lc,Alt(The Man Who Left his Wll on Film),|
NOs30,In the Realm of the Senses,1976,Oshima,PN:,SU:,prc,Porn,aw,Japan; T(1930),,|
NOs35,Empire of Passion,1978,Oshima,PN:,SU:,prc,"Porn,Fant",aw,,,|
RiD1,The Schartz-Metterklume Method,1960,Dunlap,"P:Hitchcock, J.Harrison","SShamley, CBS",bnw,Susp,aw,"mansion, csd, England","TV(12Jun1960) Le(30m) W(M.Cockrell) B(H.H. Munro, aka Saki) Seen(3Jan1991) VT()n(HD1-1)",|
RhL10,Primary,1960,Ri.Leacock,PN:,SU:,prc,Ctxx,aw,lc,,|
RhL13,The Chair,1962,Ri.Leacock,PN:,SU:,prc,Ctxx,aw,lc,,|
RhL15,Quints,1963,Ri.Leacock,PN:,SU:,prc,Ctxx,aw,lc,,|
RhL20,Chiefs,1968,Ri.Leacock,PN:,SU:,prc,Ctxx,aw,lc,,|
RMD10,The Subterraneans,1960,MacDougall,Freed,SMGM,"\Mcol,\CS","Musc,Porn",aw,"S.F., CA",B(Jack Kerrouac),|
RMr1,The Wackiest Ship in the Army,1960,Rich.Murphy,PN:,SU:,prc,CTxx,aw,lc,,|
RRu3,The Savage Seven,1963,Rush,PN:,SU:,prc,CTxx,aw,lc,ER(19xx),|
RRu5,Psych-Out,1965,Rush,PN:,SU:,prc,CTxx,aw,lc,ER(19xx),|
RRu7,Hell's Angels on Wheels,1967,Rush,PN:,SU:,prc,CTxx,aw,lc,,|
RRu10,Getting Straight,1970,Rush,PN:,SU:,prc,CTxx,aw,lc,R(R) W(Robert Kaufman) B(Ken Kolb),|
RRu15,Freebie and the Bean,1974,Rush,PN:Rush,SWarners,\Tcol,Comd,H*,lc,R(R),|
RRu20,The Stunt Man,1980,Rush,"PN:Rush, Melvin Simon",SU:,\Mcol,Dram,"H*, AANdir",lc,"R(R) W(Rush, Lawrence B. Marcus; AAN)",|
RtP10,L'Amante del Vampiro,1960,Polselli,PN:Bruna Bolognesi,SA.A.,bnw,Horr,aw,castle,Alt(The Vampire and the Ballerina; USA),|
SiA10,The Minotaur,1960,Amadio,"PN:Dino Mordini, Georgia Aglaini, Rudolphe Solmsen",SU.A. SL:Italy,col,Advt,aw,"Naxos, Greece",,|
StB2,Uncle Vanya,1962,Burge,Oliver,SU:,,Dram,aw,lc,Nt(filmed theater production: Chichester Festival) B(Anton Chekhov),|
StB3,Othello,1965,Burge,PN:Richard Goodwin,SBHE,\Tcol,Dram,H*,lc,,|
StB4,The Mikado,1967,Burge,PN:,SU:,prc,Ctxx,aw,lc,,|
StB5,Julius Caesar,1970,Burge,Peter Snell,SCoomonweath United,\Tcol,Dram,H,lc,,|
AKj10,Coming Home,1961,Kjellin,"P:Hitchcock, J.Harrison","SShamley, NBC","bnw,TV",Susp,,"NYC, NY",TV(13Jun1961) Le(30m) W(B(Henry Slesar)) Seen(10Feb1991) VT(N:HP5),|
AKj11,Captive Audience,1962,Kjellin,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,TV(18Oct1962) Le(1h),|
AKj12,The 31st of February,1963,Kjellin,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,TV(4Jan1963) Le(1h),|
AKj13,A Tangled Web,1963,Kjellin,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,TV(25Jan1963) Le(1h) W(James Bridges),|
AKj14,The Cadaver,1963,Kjellin,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,TV(29Nov1963) Le(1h),|
AKj15,How to get Rid of Your Wife,1963,Kjellin,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,TV(20Dec1963) Le(1h) W(B(Robert Gould)),|
AKj16,Beyond the Sea of Death,1964,Kjellin,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,TV(24Jan1964) Le(1h),|
AKj17,Night Caller,1964,Kjellin,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,TV(31Jan1964) Le(1h),|
AKj18,Ten Minutes From Now,1964,Kjellin,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,TV(1May1964) Le(1h),|
AKj19,Isabel,1964,Kjellin,Hitchcock,"SShamley, CBS","bnw,TV",Susp,,,"TV(5Jun1964) Le(1h) W(William Fay, Henry Slesar)",|
AKj20,Where the Woodbine Twineth,1965,Kjellin,Hitchcock,"SShamley, NBC","bnw,TV",Susp,,,TV(11Jan1965) Le(1h) W(James Bridges),|
AKj21,Completely Foolproof,1965,Kjellin,Hitchcock,"SShamley, NBC","bnw,TV",Susp,,,TV(29Mar1965) Le(1h) B(Andrew N. Benedict),|
AxS10,A Cold Wind in August,1961,A.Singer,PN:,SU:,prc,Dram,aw,lc,C(Floyd Crosby),|
BFo1,Whistle Down the Wind,1962,B.Forbes,PN:Richard Attenborough,SRank,bnw,Dram,H*,"north, England",|
BFo2,The L-shaped Room,1962,B.Forbes,PN:,SU:,prc,Ctxx,aw,lc,,|
BFo3,Seance on a Wet Afternoon,1964,B.Forbes,PN:,SU:,prc,Ctxx,aw,lc,,|
BFo4,King Rat,1965,B.Forbes,PN:,SU:,prc,Ctxx,aw,lc,W(B.Forbes),|
BFo6,The Whisperers,1967,B.Forbes,PN:,SU:,prc,Ctxx,aw,lc,W(Bryan~Forbes),|
BFo12,The Stepford Wives,1974,B.Forbes,Edgar J. Sherrick,"SFadsin,Palomar",\TVCcol,Dram,H*,"town, CN",B(Ira Levin),|
BFo13,The Slipper and The Rose,1976,B.Forbes,"PN:David Frost, Stuart Lyons",SParadine SL:\GB,Tcol,Fant,H*,,"B(`Cinderella') M(Robert Sherman, Richard Sherman; AAN)",|
BFo14,International Velvet,1978,B.Forbes,B.Forbes,SMGM,\Mcol,Dram,H,,R(PG),|
CBl20,Roger Corman: Hollywood's Wild Angel,1978,Blackwood,Blackwood,SU:,prc,Docu,aw,lc,Le(58min),|
CBl25,Tapdancin',1980,Blackwood,Blackwood,SU:,prc,Docu,aw,,Le(58min),|
CBl26,Memoirs of a Movie Palace,1980,Blackwood,Blackwood,SU:,prc,Docu,aw,"Loew's, theatre, flatbush Ave., Brooklyn, NY",Le(45min) Seen(7Aug1993),|
CBl30,Edith Head,1981,Blackwood,Blackwood,SU:,prc,Docu,aw,"Hollywood, CA",Le(28min),|
CBl32,Yesterday's Witness,1981,Blackwood,Blackwood,SU:,prc,Docu,aw,,Le(58min),|
CBl35,Sam Fuller,1982,Blackwood,Blackwood,SU:,prc,Docu,aw,lc,Le(18min),|
CBl40,All By Myself,1982,Blackwood,Blackwood,SU:,prc,Docu,aw,lc,C(Blackwood),|
CBl60,Observations Under the Volcano,1984,Blackwood,Blackwood,SU:,prc,Docu,aw,"movie set, Guernavaca, Mexico",C(Blackwood),|
CBl67,Private Conversations,1982,Blackwood,Blackwood,SU:,prc,Docu,aw,lc,C(Blackwood),|
CBl69,Nik and Murray,1986,Blackwood,Blackwood,SU:,prc,Docu,aw,lc,,|
CBl70,My Life for Zarah Leander,1986,Blackwood,Blackwood,SU:,prc,Docu,aw,"house, Germany",C(Blackwood) Seen(7Aug1993),|
CBl73,Signed: Lino Brocka,1987,Blackwood,Blackwood,SU:,prc,Docu,aw,Phillipines,C(Blackwood),|
CBl80,Motel,1989,Blackwood,Blackwood,SU:,prc,Docu,aw,"motel, Santa Fe, NM; Motel, AZ; operahouse, Death Valley, CA",,|
ElP10,The Assassin,1961,Petri,Blackwood,SU:,prc,H**,,lc,|
ElP30,Investigation of a Citizen above Suspicion,1970,Petri,PN:,SU:,prc,Dram,,"Rome, Italy",|
EOB1,Mantrap,1961,OBrien,OBrien,SParamount,bnw \Pan,Dram,H,lc,,|
FrF15,The Evil of Frankenstein,1961,Francis,PN:,SU:,prc,Ctxx,aw,lc,,|
FrF22,They Came from Beyond Space,1966,Francis,PN:,SU:,prc,Ctxx,aw,lc,,|
FrF26,Dracula Has Risen from the Grave,1968,Francis,PN:Aida Young,"SHammer, Warners",col,Horr,aw,"Transylvania, Romania",W(Hinds),|
FrF28,Girly,1970,Francis,PN:Ronald j. Kahn,SCinerama releasing,col,Horr,aw,"manor, England",R(R),|
FrF30,Gebissen Wird Nur Nachts,1972,Francis,PN:Pier Caminneci,"SAcquila, SL:\Ge",col,"Horr, Comd",,lc,Alt(Vampire Happening; USA),|
FrF35,Tales from the Crypt,1972,Francis,"PN:Milton Subotsky, Max J. Rosenberg",SAmicus,\Cinerama,Horr,H,cemetary,"Nt(5 E.C, comic book stories: 1:Poetic Justice, 2: Blind Alleys, 3:All Through the House, 4:Reflection of Death, 5:Wish you were Here) Ser(1, Crypt) W(Milton Subotsky)",|
FrF40,Tales That Witness Madness,1973,Francis,PN:Norman Priggen,"SAmicus, Paramount",col,"Horr, Comd",,clinic,"W(: cannibalism, :living plant, : imagenary tiger, : time machine)",|
FrF45,Craze,1974,Francis,PN:Herman Cohen,SWarners,col,"Horr, Comd",,,,|
GeW3,World's Greatest Lover,1977,G.Wilder,G.Wilder,SFox,\DeLuxe,Comd,H,T(1920),R(PG) W(G.Wilder),|
GeW5,The Woman in Red,1984,G.Wilder,Victor Drai,SOrion,\DeLuxe,Comd,H*,lc,,|
GnN10,Hand of Death,1961,Gn.Nelson,PN:Eugene Ling,SFox,bnw,Horr,aw,"laboratory, desert, West",,|
GnN14,Kissin' Cousins,1964,Gn.Nelson,PN:Sam Katzman,SMGM,col,Musc,aw,"csd, TN",,|
GnN15,Harum Scarum,1965,Gn.Nelson,PN:Sam Katzman,SMGM,col,Musc,aw,"desert, MiddleEast",,|
GoH10,Final Arrangements,1961,Hessler,Hitchcock,"SShamley, NBC","bnw,TV",Susp,,,TV(20Jun1961) Le(30m) W(Lawrence Page) B(Robert Arthur),|
GoH50,The Oblong Box,1969,Hessler,Hessler,SAIP,col,Susp,,"Paris, France B(Edgar Allen Poe) W(Lawrence Huntington, Christopher Wicking)",|
GoH51,Scream and Scream Again,1964,Hessler,"PN:Max J. Rosenberg, Milton Subotsky","SAmicus, AIP",\Ecol,Susp,H*,B(Peter Saxon) W(Christopher Wicking),|
GoH52,Cry of the Banshee,1970,Hessler,Hessler,SAIP,col,Susp,,T(1500),"M(Les Baxter) W(Jim Kelly, Charles Wicking)",|
GoH53,Murders in the Rue Morgue,1971,Hessler,PN:Louis M. Heyward,SAIP,col Foto Film,Susp,H*,"Paris, France B(Edgar Allen Poe) W(Charles Wicking, Henry Slesar)",|
GoH54,The Golden Voyage of Sinbad,1974,Hessler,PN:Charles H. Schneer,SColumbia,\Tcol,Fant,H*,Arabia,M(Rosza) R(G) V(Harryhausen),|
GxR03,Comrade X,1940,unknown,G.Reinhardt,SMGM,,Ctxx,aw,lc,,|
GxR05,Command Decision,1948,unknown,G.Reinhardt,SMGM,,Ctxx,aw,lc,,|
GxR06,The Great Sinner,1949,unknown,G.Reinhardt,SMGM,,Ctxx,aw,lc,,|
GxR07,The Red Badge of Courage,1951,unknown,G.Reinhardt,SMGM,,Ctxx,aw,lc,,|
GxR10,Betrayed,1954,G.Reinhardt,G.Reinhardt,SMGM,\Ecol,"Drm, Romt",H,Holland; T(1943),,|
GxR15,Town Without Pity,1961,G.Reinhardt,G.Reinhardt,SU:,prc,Dram,aw,lc,,|
GxR20,Situation Hopeless -- But Not Serious,1965,G.Reinhardt,G.Reinhardt,SU:,prc,Comd,aw,lc,,|
GxR10,1954,G.Reinhardt,G.Reinhardt,SMGM,\Ecol,Ctxx,aw,lc,,|
HiT10,Pitfall,1961,Teshigahara,PN:,SU:,prc,Ctxx,aw,lc,,|
HiT15,Suna no Onna,1964,Teshigahara,PN:Kiichi Ichikawa,STesigahara,bnw,"Dram,Romt","AAN dir, H*","deserted beach, Japan",B(Kobo Abe) M(Takemitsu) Alt(Woman of the Dunes) Alt(Woman in the Dunes),|
HiT17,Kwaidan,1965,Teshigahara,PU:,SU:,prc,Ctxx,,lc,Er(D) Er(19xx) M(Takemitsu),|
HiT18,Silence,1965,Teshigahara,PU:,SU:,prc,Ctxx,,lc,Er(D) Er(19xx) M(Takemitsu),|
HiT20,Tanin no Kao,1966,Teshigahara,PU:,SU:,prc,Ctxx,,lc,B(Kobo Abe) Alt(The Face of Another),|
HiT25,The Man Without a Map,1968,Teshigahara,PN:,SU:,prc,Ctxx,aw,lc,,|
HiT30,Out of Work for Years,1975,Teshigahara,PN:,SU:,prc,Ctxx,aw,lc,,|
HiT35,Rikyu,1990,Teshigahara,PN:,SL:Japan,prc,Dram,,"teahouse, Japan; T(1500)",Nt(Teadius) Er(1990?),|
HrC10,Une Aussi Longue Absence,1961,Colpi,PN:Jacques Nahum,"SPrcinex, Lyre",bnw,Romt,H*,"Paris, France","M(Georges Delrue) W(Marguerite Duras, Gerald Jarlot)",,|
HrR10,Die Unsichtbaren Krallen des Dr.~Mabuse,1961,Reinl,PN:Arthur Brauner,SThunder Pictures SL:W.Germany,bnw,Horr,aw,"NYC, NY",Alt(The Invisible Dr.~Mabuse; USA),|
HrR12,Im Stahlnetz des Dr.~Mabuse,1962,Reinl,PN:Arthur Brauner,SA Jay,bnw,Horr,aw,"Chicago, IL",Alt(The Return of Dr.~Mabuse; USA),|
ICs1,Shadows,1961,JCassavetes,PN:Maurice MbEndree,SJCassavetes,bnw,Dram,H*,"Manhattan, NY",W(the cast),|
ICs2,Too Late Blues,1962,JCassavetes,PN:,SU:,prc,Ctxx,aw,lc,,|
ICs3,A Child Is Waiting,1962,JCassavetes,PN:,SU:,prc,Ctxx,aw,lc,,|
ICs4,Faces,1968,JCassavetes,PN:,SU:,prc,"Docu,Dram",aw,lc,,|
ICs5,Husbands,1970,JCassavetes,PN:,SU:,prc,Ctxx,aw,lc,W(JCassavetes),|
ICs6,Minnie and Moskowitz,1971,JCassavetes,PN:,SU:,prc,Ctxx,aw,lc,W(JCassavetes),|
ICs7,A Woman Under the Influence,1974,JCassavetes,PN:,SU:,prc,Dram,aw,"LA, CA",W(JCassavetes),|
ICs8,Opening Night,1978,JCassavetes,PN:,SU:,prc,Ctxx,aw,lc,W(JCassavetes),|
ICs9,The Killing of a Chinese Bookie,1976,JCassavetes,PN:JCassavetes,SU:,col,Dram,H,"L.A., CA",W(JCassavetes),|
ICs10,Gloria,1980,JCassavetes,JCassavetes,SU:,prc,Ctxx,aw,lc,W(JCassavetes) R(PG),|
ICs11,Love Streams,1983,JCassavetes,JCassavetes,SU:,prc,Ctxx,aw,lc,W(JCassavetes),|
ICs12,I'm Almost Not Crazy,1994,JCassavetes,PU:,SU:,col,Docu,aw,,,|
JGf10,Something Wild,1961,Garfein,PN:George Justin,SU.A.,bnw,|
JoQ10,The Roman Spring of Mrs Stone,1961,Quintero,PN:Louis deRochemont,SWarners,\Tcol,Dram,H*,Rome. Itay,W(Gavin Lambert) B(Tennessee~Williams),|
JRo10,Chronique d'un \'Et\'e,1961,Rouch,PN:,SU:,prc,Ctxx,aw,lc,CoD(Edgar Morin),|
MBd10,One Eyed Jacks,1961,Brando,PN:Frank P. Rosenberg,SParamount,\Tcol,West,H,,C(Ch.Lang~jr.; AAN),|
NKp1,Gustave Moreau,1961,N.Kaplan,PN:,SU:,prc,Docu,aw,"museum, Paris, France",Lang(\Fr) Le(20min),|
NKp5,Rudolphe Breslin,1962,N.Kaplan,PN:,SU:,prc,Docu,aw,lc,Lang(\Fr) Le(17min),|
NKp10,Le Regard Picasso,1969,N.Kaplan,PN:,SU:,prc,Docu,aw,"Grand Palais, Paris, France",Lang(\Fr),|
NKp12,La Fianc\'ee du Pirate,1969,N.Kaplan,PN:,SU:,prc,Dram,aw,"village, France",Lang(\Fr) Alt(A Very Curious Girl; USA),|
NKp22,Charles et Lucie,1979,N.Kaplan,PN:,SU:,prc,"Dram, Romt",aw,lc,Lang(\Fr),|
NKp30,Adolph Gance and his Napoleon,1986,N.Kaplan,PN:,SU:,prc,Docu,aw,"studio, Paris; T(1934)",Lang(\Fr),|
NKp40,Plaisir D'Amour,1991,N.Kaplan,PN:,SU:,prc,Romt,aw,lc,Lang(\Fr),|
PaP2,Accettone,1961,Pasolini,PN:,SU:,prc,Dram,aw,"slum, Italy",W(Pasolino),|
PaP10,Mamma Roma,1962,Pasolini,PN:,SU:,prc,Dram,aw,"Rome, Italy; T1946",C(Tonino DElli Colli),|
PaP15,Il Vangelo Secondo Matteo,1964,Pasolini,PN:,SU:,bnw,Bio,H*,"South, Italy","M(Bach, Mozart, Prokofiev, Luis Enrique Bacalov; AAN) Alt(The Gospel According to St.~Matthew; USA)",|
PaP19,Oedipus Rex,1967,Pasolini,PN:,SU:,prc,Dram,aw,Greece,B(Sophocles),|
PaP20,Teorema,1968,Pasolini,PN:,SU:,prc,"Dram, Fant",aw,"middleclass household, Italy",Alt(Theorem; USA),|
PaP25,Medea,1970,Pasolini,PN:,SU:,prc,Dram,aw,Greece,B(Euripides),|
PaP26,Decameron,1970,Pasolini,PN:,SU:,prc,Ctxx,aw,lc,,|
PaP28,The Canterbury Tales,1971,Pasolini,PN:,SU:,prc,Ctxx,aw,lc,Lang(\It),|
PaP32,The Arabian Nights,1974,Pasolini,PN:,SU:,prc,Ctxx,aw,lc,,|
PaP35,The 120 days of Sodom,1975,Pasolini,PN:,SU:,prc,Porn,aw,lc,,|
PdB3,Cartouche,1961,DeBroca,PN:Georges Danciger,"SAriane,Filmsonor",\Ecol,Comd,H**,"village, France; T(1750)","M(Georges Delerue) W(Daniel Boulanger, deBroca) Alt(Sword of Blood; USA)",|
PdB10,King of Hearts,1967,DeBroca,PN:,SU:,,Comd,,"village, France; T(1918)",|
PEt10,Happy Anniversary,1961,Etaix,PU:,Capac,bnw,Comd,H*,"Paris, France",W(Etaix),|
PMo1,sm,1961,Morrissey,PN:,SU:,bnw,Noir,aw,lc,Le(short),|
PMo3,Mary Martin Does It,1963,Morrissey,PN:,SU:,bnw,Noir,aw,lc,Le(short) Er(19xx),|
PMo5,Civilization and its Discontents,1964,Morrissey,PN:,SU:,bnw,Noir,aw,lc,Le(short) Er(19xx),|
PMo12,Flesh,1968,Morrissey,PN:Andy Warhol,SU:,col,"Comd, Porn",aw,lc,Alt(Andy Warhol presents Flesh; USA),|
PMo13,Trash,1970,Morrissey,PN:Andy Warhol,SU:,col,AvGa,aw,"lower East-side, N.Y.C., NY",,|
